.Helvetica LT MM,.Helvetica LT MM,HelveLTMM
.Helvetica LT MM,.Helvetica LT MM,Helvetica LT MM
.Keyboard,.Keyboard,Keyboard.dfont
.Times LT MM,.Times LT MM,Times LT MM
.Times LT MM,.Times LT MM,TimesLTMM
Al Bayan,Al Bayan Bold,AlBayanBold.ttf
Al Bayan,Al Bayan Plain,AlBayan.ttf
American Typewriter,American Typewriter Bold,AmericanTypewriter.dfont
American Typewriter,American Typewriter Condensed Bold,AmericanTypewriter.dfont
American Typewriter,American Typewriter Condensed Light,AmericanTypewriter.dfont
American Typewriter,American Typewriter Condensed,AmericanTypewriter.dfont
American Typewriter,American Typewriter Light,AmericanTypewriter.dfont
American Typewriter,American Typewriter,AmericanTypewriter.dfont
Andale Mono,Andale Mono,Andale Mono.ttf
Apple Braille,Apple Braille Outline 6 Dot,Apple Braille Outline 6 Dot.ttf
Apple Braille,Apple Braille Outline 8 Dot,Apple Braille Outline 8 Dot.ttf
Apple Braille,Apple Braille Pinpoint 6 Dot,Apple Braille Pinpoint 6 Dot.ttf
Apple Braille,Apple Braille Pinpoint 8 Dot,Apple Braille Pinpoint 8 Dot.ttf
Apple Braille,Apple Braille,Apple Braille.ttf
Apple Chancery,Apple Chancery,Apple Chancery.dfont
Apple LiGothic,Apple LiGothic Medium,Apple LiGothic Medium.dfont
Apple LiSung,Apple LiSung Light,Apple LiSung Light.dfont
Apple Symbols,Apple Symbols,Apple Symbols.ttf
AppleGothic,AppleGothic Regular,AppleGothic.ttf
AppleMyungjo,AppleMyungjo Regular,AppleMyungjo.ttf
AquaKana,AquaKana Bold,AquaKanaBold.otf
AquaKana,AquaKana,AquaKanaRegular.otf
Arial Hebrew,Arial Hebrew Bold,ArialHBBold.ttf
Arial Hebrew,Arial Hebrew,ArialHB.ttf
Arial Narrow,Arial Narrow Bold Italic,Arial Narrow Bold Italic.ttf
Arial Narrow,Arial Narrow Bold,Arial Narrow Bold.ttf
Arial Narrow,Arial Narrow Italic,Arial Narrow Italic.ttf
Arial Narrow,Arial Narrow,Arial Narrow.ttf
Arial Rounded MT Bold,Arial Rounded MT Bold,Arial Rounded Bold.ttf
Arial,Arial Black,Arial Black.ttf
Arial,Arial Bold Italic,Arial Bold Italic.ttf
Arial,Arial Bold,Arial Bold.ttf
Arial,Arial Italic,Arial Italic.ttf
Arial,Arial Unicode MS,Arial Unicode.ttf
Arial,Arial,Arial.ttf
Ayuthaya,Ayuthaya,Ayuthaya.ttf
Baghdad,Baghdad Regular,Baghdad.ttf
Baskerville,Baskerville Bold Italic,Baskerville.dfont
Baskerville,Baskerville Bold,Baskerville.dfont
Baskerville,Baskerville Italic,Baskerville.dfont
Baskerville,Baskerville SemiBold Italic,Baskerville.dfont
Baskerville,Baskerville SemiBold,Baskerville.dfont
Baskerville,Baskerville,Baskerville.dfont
BiauKai,BiauKai,BiauKai.dfont
Big Caslon,Big Caslon Medium,BigCaslon.dfont
Brush Script MT,Brush Script MT Italic,Brush Script.ttf
Chalkboard,Chalkboard Bold,ChalkboardBold.ttf
Chalkboard,Chalkboard,Chalkboard.ttf
Charcoal CY,Charcoal CY,CharcoalCY.dfont
Cochin,Cochin Bold Italic,Cochin.dfont
Cochin,Cochin Bold,Cochin.dfont
Cochin,Cochin Italic,Cochin.dfont
Cochin,Cochin,Cochin.dfont
Comic Sans MS,Comic Sans MS Bold,Comic Sans MS Bold.ttf
Comic Sans MS,Comic Sans MS,Comic Sans MS.ttf
Copperplate,Copperplate Bold,Copperplate.dfont
Copperplate,Copperplate Light,Copperplate.dfont
Copperplate,Copperplate,Copperplate.dfont
Corsiva Hebrew,Corsiva Hebrew Bold,CorsivaBold.ttf
Corsiva Hebrew,Corsiva Hebrew,Corsiva.ttf
Courier New,Courier New Bold Italic,Courier New Bold Italic.ttf
Courier New,Courier New Bold,Courier New Bold.ttf
Courier New,Courier New Italic,Courier New Italic.ttf
Courier New,Courier New,Courier New.ttf
Courier,Courier Bold Oblique,Courier.dfont
Courier,Courier Bold,Courier.dfont
Courier,Courier Oblique,Courier.dfont
Courier,Courier,Courier.dfont
DecoType Naskh,DecoType Naskh Regular,DecoTypeNaskh.ttf
Devanagari MT,Devanagari MT Bold,DevanagariMTBold.ttf
Devanagari MT,Devanagari MT,DevanagariMT.ttf
Didot,Didot Bold,Didot.dfont
Didot,Didot Italic,Didot.dfont
Didot,Didot,Didot.dfont
Euphemia UCAS,Euphemia UCAS Bold,EuphemiaCASBold.ttf
Euphemia UCAS,Euphemia UCAS Italic,EuphemiaCASItalic.ttf
Euphemia UCAS,Euphemia UCAS,EuphemiaCASRegular.ttf
Futura,Futura Condensed ExtraBold,Futura.dfont
Futura,Futura Condensed Medium,Futura.dfont
Futura,Futura Medium Italic,Futura.dfont
Futura,Futura Medium,Futura.dfont
GB18030 Bitmap,GB18030 Bitmap,NISC18030.ttf
Geeza Pro,Geeza Pro Bold,Geeza Pro Bold.ttf
Geeza Pro,Geeza Pro Regular,Geeza Pro.ttf
Geneva CY,Geneva CY,GenevaCY.dfont
Geneva,Geneva,Geneva.dfont
Georgia,Georgia Bold Italic,Georgia Bold Italic.ttf
Georgia,Georgia Bold,Georgia Bold.ttf
Georgia,Georgia Italic,Georgia Italic.ttf
