Family,Name,Filename
Arial,Arial Bold Italic,arialbi.ttf
Arial,Arial Bold,arialbd.ttf
Arial,Arial Italic,ariali.ttf
Arial,Arial,arial.ttf
Comic Sans MS,Comic Sans MS,comic.ttf
Courier New,Courier New Bold Italic,courbi.ttf
Courier New,Courier New Bold,courbd.ttf
Courier New,Courier New Italic,couri.ttf
Courier New,Courier New,cour.ttf
Marlett,Marlett,marlett.ttf
Symbol,Symbol,symbol.ttf
Times New Roman,Times New Roman Bold Italic,timesbi.ttf
Times New Roman,Times New Roman Bold,timesbd.ttf
Times New Roman,Times New Roman Italic,timesi.ttf
Times New Roman,Times New Roman,times.ttf
Wingdings,Wingdings,wingding.ttf
